ID,vendorCode,vendorName,email,phone,address,city,state,country,postalCode,currency_code,taxId,externalSupplierId,assignedManager,status,isActive,vendorType,creditLimit,paymentTerms,bankName,bankAccount,swiftCode
1a9b6f21-8c41-4a90-9d0a-000000000001,V001,Acme Corporation,contact@acmecorp.com,+1-2125551001,125 Madison Avenue,New York,NY,USA,10001,USD,TAX1001,SUP1001,manager1,APPROVED,true,Manufacturer,500000,NET30,Citi Bank,50010001,CITIUS33
2b8c7d32-9d52-4ba1-8c1b-000000000002,V002,Tech Solutions Ltd,info@techsolutions.com,+44-2035551002,48 Oxford Street,London,England,UK,W1D1BS,EUR,TAX1002,SUP1002,manager2,APPROVED,true,IT Services,350000,NET30,HSBC,50010002,MIDLGB22
3c7d8e43-ae63-4cb2-9d2c-000000000003,V003,Global Supplies,hello@globalsupplies.com,+91-8045551003,15 MG Road,Bengaluru,Karnataka,India,560001,INR,TAX1003,SUP1003,manager1,APPROVED,true,Distributor,800000,NET45,HDFC Bank,50010003,HDFCINBB
4d6e9f54-bf74-4dc3-8e3d-000000000004,V004,New Vendor Inc,support@newvendor.com,+1-3125551004,320 Market Street,Chicago,IL,USA,60601,USD,TAX1004,SUP1004,manager2,PENDING,true,Supplier,150000,NET30,Chase Bank,50010004,CHASUS33
5e5f0a65-c085-4ed4-9f4e-000000000005,V005,Quality Parts,mail@qualityparts.com,+49-305551005,22 Alexanderplatz,Berlin,Berlin,Germany,10115,EUR,TAX1005,SUP1005,manager1,APPROVED,true,Manufacturer,650000,NET60,Deutsche Bank,50010005,DEUTDEFF
6f4a1b76-d196-4fe5-8a5f-000000000006,V006,Supply Chain Co,office@supplychainco.com,+44-1615551006,80 King Street,Manchester,England,UK,M11AE,GBP,TAX1006,SUP1006,manager2,APPROVED,true,Wholesaler,400000,NET30,Barclays,50010006,BUKBGB22
7a3b2c87-e2a7-40f6-9b60-000000000007,V007,Materials Plus,contact@materialsplus.com,+1-4165551007,95 Queen Street,Toronto,Ontario,Canada,M5H2N2,USD,TAX1007,SUP1007,manager1,REJECTED,true,Supplier,250000,NET45,RBC,50010007,ROYCCAT2
8b2c3d98-f3b8-41a7-8c71-000000000008,V008,Service Provider,service@providergroup.com,+61-295551008,60 George Street,Sydney,NSW,Australia,2000,AUD,TAX1008,SUP1008,manager2,APPROVED,true,Consulting,450000,NET30,ANZ,50010008,ANZBAU3M
9c1d4ea9-04c9-42b8-9d82-000000000009,V009,Industrial Goods,industrial@goodsco.com,+33-145551009,18 Rue Victor Hugo,Paris,Ile-de-France,France,75001,EUR,TAX1009,SUP1009,manager1,PENDING,true,Manufacturer,700000,NET30,BNP Paribas,50010009,BNPAFRPP
ad0e5fba-15da-43c9-8e93-000000000010,V010,Equipment Rental,rentals@equipment.com,+1-2135551010,500 Sunset Boulevard,Los Angeles,CA,USA,90001,USD,TAX1010,SUP1010,manager2,APPROVED,true,Rental,900000,NET30,Bank of America,50010010,BOFAUS3N
